    1.6044 0.2952 P
    2.0947 0.1497 P
    1.7209 0.2739 P
    1.7300 0.2883 P
    1.8385 0.2648 P
    1.9936 0.2129 P
    2.0580 0.2466 P
    1.6946 0.3515 P
    1.5649 0.3091 P
    1.7392 0.2922 P
    1.8076 0.2103 P
    1.7481 0.2744 P
    1.9794 0.2091 P
    1.7028 0.2990 P
    1.6602 0.2570 P
    1.9556 0.2189 P
    2.0509 0.3993 P
    1.9511 0.2412 P
    2.0609 0.2523 P
    2.0027 0.2350 P
    1.8893 0.2020 P
    1.7038 0.2001 P
    1.7328 0.2643 P
    1.9123 0.2670 P
    1.8445 0.2273 P
    1.9911 0.2446 P
    1.8522 0.2121 P
    1.7470 0.2859 P
    1.8256 0.2701 P
    1.8202 0.2556 P
    1.6740 0.3156 P
    1.7082 0.2521 P
    1.6552 0.3052 P
    1.6929 0.2242 P
    1.7289 0.2353 P
    1.8391 0.2125 P
    1.6836 0.2488 P
    1.7322 0.2443 P
    1.9010 0.2843 P
    1.5675 0.3037 P
    1.8164 0.1450 P
    1.7271 0.2963 P
    1.7685 0.2839 P
    1.9797 0.2309 P
    1.8386 0.2653 P
    1.7438 0.4044 P
    1.6838 0.3716 P
    1.7450 0.2252 P
    1.8927 0.1959 P
    1.8381 0.2579 P
    1.6656 0.2552 P
    1.9245 0.2010 P
    2.0847 0.2187 P
    1.9021 0.2068 P
    1.7332 0.2024 P
    2.0873 0.1618 P
    1.7751 0.3189 P
    1.9460 0.2700 P
    1.7008 0.2232 P
    1.9493 0.2472 P
    1.8257 0.2780 P
    1.7240 0.2653 P
    1.8448 0.2728 P
    1.7555 0.3147 P
    1.9137 0.1728 P
    1.6908 0.2244 P
    1.6894 0.2692 P
    1.9468 0.2518 P
    1.6949 0.2636 P
    1.5695 0.3030 P
    1.7935 0.2172 P
    2.0675 0.1942 P
    1.6750 0.3163 P
    1.7753 0.2912 P
    2.0100 0.1966 P
    1.8285 0.1604 P
    1.9157 0.1785 P
    1.9035 0.2296 P
    1.8602 0.2346 P
    1.7316 0.2365 P
    1.7960 0.2963 P
    1.7528 0.2294 P
    1.9208 0.1896 P
    1.9323 0.1642 P
    1.8326 0.2459 P
    1.9998 0.2206 P
    1.9550 0.2386 P
    1.9587 0.2105 P
    2.0089 0.3591 P
    1.9206 0.2529 P
    1.8010 0.3092 P
    2.0796 0.2211 P
    1.8938 0.2163 P
    1.7878 0.3098 P
    1.7170 0.2748 P
    1.8967 0.2544 P
    1.8442 0.1319 P
    1.8907 0.2198 P
    1.6997 0.2879 P
    1.8370 0.2950 P
    1.9617 0.2457 P
    1.8158 0.2897 P
    1.9813 0.1980 P
    1.7102 0.2833 P
    1.7012 0.2509 P
    1.9206 0.2241 P
    1.7547 0.3119 P
    1.7091 0.2897 P
    1.8255 0.1829 P
    1.7797 0.2426 P
    1.9524 0.1015 P
    1.6848 0.2265 P
    2.0535 0.1767 P
    1.6964 0.2827 P
    1.7234 0.2338 P
    1.9797 0.2039 P
    1.5958 0.3038 P
    1.9264 0.2325 P
    1.8583 0.2157 P
    1.7317 0.3081 P
    1.8815 0.1717 P
    1.8618 0.2588 P
    1.8384 0.1506 P
