    0.5745  8.2143E+00 P
    0.5350  7.7992E-01 P
    0.7145  4.4269E+00 P
    0.5963  6.3414E-03 P
    0.5627  3.0344E+00 P
    0.7413  8.5588E-01 P
    0.1544  4.6861E-01 P
    0.6729  3.3033E+00 P
    0.6224  3.3950E+01 P
    0.5540  6.1742E+01 P
    1.1294  3.8621E-01 P
    0.5515  1.2408E+00 P
    0.4589  1.0565E+01 P
    0.6975  5.1395E-01 P
    0.6322  1.1078E+02 P
    0.6507  3.7271E-02 P
    1.2556  1.0572E-01 P
    0.6066  6.7340E+01 P
    0.5971  2.2643E+02 P
    0.2278  1.0365E+01 P
    0.4145  8.7851E-01 P
    0.8331  2.2444E-02 P
    0.6842  1.0009E+00 P
    0.4615  3.7385E-02 P
    0.5718  2.0616E+00 P
    0.6058  9.3237E-01 P
    0.8549  1.7177E-01 P
    0.6952  2.6543E+00 P
    0.6854  2.0372E+00 P
    0.5767  1.3344E+01 P
    0.5004  1.4824E+01 P
    0.6014  1.9113E-01 P
    0.6047  2.0753E+04 P
    0.8104  1.8060E+01 P
    0.7045  4.0614E+00 P
    0.5296  2.8968E+01 P
    0.3928  2.2126E+00 P
    0.1667  3.4912E-01 P
    0.5471  3.1271E+01 P
    0.7332  5.3933E+00 P
    0.4342  5.0261E+00 P
    0.6807  2.8920E+01 P
    0.5909  9.1316E+01 P
    0.6592  2.8992E+00 P
    0.7042  5.4130E-01 P
    0.1940  1.1615E+00 P
    0.6675  1.3088E+01 P
    0.5738  1.8481E+03 P
    0.3454  1.2214E+02 P
    0.7258  4.8141E+00 P
    0.5758  5.2248E+00 P
    0.5192  2.6601E+02 P
    0.8160  4.8135E-01 P
    0.5564  8.9832E+02 P
    0.6271  1.0044E+01 P
    0.6396  1.6643E+03 P
    0.7316  9.2684E-01 P
    0.4880  7.9825E-02 P
    0.5338  1.0994E+01 P
    1.7011  8.5330E-01 P
    0.1283  7.9173E-03 P
    1.2164  4.2986E-01 P
    0.4502  5.9387E+00 P
    0.6042  1.2425E+02 P
    0.4744  8.5930E+00 P
    0.5612  1.5920E+01 P
    0.9470  2.3720E+00 P
    1.1026  3.8525E+02 P
    0.5417  1.0894E+04 P
    0.5859  6.0587E+00 P
    1.6558  4.8668E-01 P
    0.8654  1.2161E+00 P
    0.4249  1.8391E+01 P
    0.5815  1.0289E+01 P
    0.5676  1.8046E-02 P
    0.4257  6.4276E+00 P
    0.7375  1.9983E+00 P
    0.6043  3.5793E+01 P
    0.5550  1.0095E+01 P
    0.6286  6.0528E-01 P
    0.6357  2.8951E+01 P
    0.6709  1.1665E+01 P
    0.6334  6.5046E-02 P
    0.5321  2.3074E+00 P
    0.5779  9.1047E+01 P
    0.6180  2.0797E+02 P
    0.7079  3.9041E+02 P
    0.6491  1.9583E+01 P
    1.2738  2.0244E+01 P
    0.6148  2.2016E+00 P
    0.4665  1.1514E+00 P
    0.3810  2.2208E+00 P
    0.4967  1.4442E-01 P
    0.5601  2.6225E-01 P
    0.5819  1.0521E+00 P
    0.5569  1.6837E+00 P
    0.1887  3.8239E-02 P
    0.7963  5.3890E+01 P
    0.5843  5.2329E+02 P
    0.5449  7.2098E+00 P
    0.5008  1.5590E+01 P
    0.7251  4.8743E+00 P
    0.5998  2.6177E-01 P
    0.5293  6.9131E+03 P
    0.6159  4.7130E+00 P
    0.5217  3.0531E+01 P
    0.5584  3.5074E+00 P
    0.5249  3.1025E+01 P
    0.5871  1.7110E+00 P
    0.6914  6.6320E+00 P
    0.4713  7.1577E+00 P
    0.5040  1.5724E+02 P
    0.5348  2.0109E+01 P
    0.5403  2.9748E+01 P
    0.4416  5.0498E+00 P
    0.5448  4.3818E+00 P
    0.5718  1.5376E+01 P
    0.8174  5.9295E-01 P
    0.6519  3.1456E+00 P
    0.8603  4.1696E+00 P
    0.6650  1.0327E+00 P
    1.7721  2.8895E-01 P
    0.6448  9.4500E+00 P
    0.5639  5.9207E+02 P
    0.7341  3.4511E+00 P
    0.8168  7.7240E+00 P
    0.5338  1.8577E+02 P
    0.4256  3.6528E-01 P
    0.7678  9.7192E-01 P
    0.6252  9.6632E+00 P
    0.9787  5.4154E+00 P
    0.6175  7.9485E+02 P
    0.5537  2.2822E+01 P
    0.7218  1.2369E+00 P
    0.5375  1.0634E+01 P
    1.0516  3.1229E+00 P
    0.8911  8.7642E+00 P
    0.6485  5.9337E+00 P
    0.4800  8.6294E+01 P
    0.6029  1.3470E+02 P
    0.4699  6.9082E+00 P
    0.5438  1.8497E+01 P
    1.3280  2.8723E+00 P
    0.1858  4.7503E-01 P
    0.8434  2.5015E+00 P
    0.5849  1.7957E+01 P
    0.5245  1.1179E+01 P
    0.7601  3.2921E+00 P
    0.6664  2.6416E+02 P
    0.2675  1.0649E+00 P
    0.4778  9.0231E+00 P
    0.7813  2.3559E-01 P
    0.5743  3.6223E-02 P
    0.7791  6.0529E-01 P
    0.4372  8.1243E+00 P
    0.4887  2.7275E+00 P
    0.6227  3.6670E+00 P
    0.1675  5.3522E-01 P
    0.5585  8.5573E+01 P
    1.0222  6.3490E-01 P
    0.6387  6.4939E-01 P
    0.7773  3.5503E-02 P
    1.0324  2.1351E-01 P
    0.5888  1.9464E+02 P
    0.6624  3.0361E+02 P
    0.7001  2.7690E+02 P
    0.5914  1.5085E+00 P
    0.7952  1.1262E+00 P
    0.4438  1.0471E+00 P
    0.6621  4.3323E+00 P
    0.5898  3.2814E-01 P
    0.5858  9.9106E+01 P
    0.5890  1.5768E+00 P
    0.6156  7.9819E+00 P
    0.5791  1.0227E+00 P
    0.6164  5.4842E+00 P
    0.6098  2.2316E+00 P
    0.5629  2.7953E-01 P
    0.4715  4.9457E-01 P
    0.5985  6.3983E+00 P
    0.4962  8.0559E+00 P
    0.7480  4.4246E+00 P
    0.5238  4.0154E+01 P
    0.8105  1.2405E+01 P
    0.4237  2.7089E-01 P
    0.6142  7.2978E+00 P
    0.5776  2.0256E+02 P
    0.1715  1.0968E+01 P
    0.7332  5.3934E+00 P
    0.6466  1.1860E+01 P
    0.5211  1.2463E+01 P
    0.5229  9.8718E+00 P
    0.4851  2.6263E+00 P
    0.9076  3.6107E+00 P
    0.2250  1.6278E+00 P
    0.5669  2.4602E+00 P
    0.6629  2.9770E+00 P
    0.5722  1.1847E+02 P
    0.5753  5.6606E+00 P
    0.7929  1.2317E+01 P
    0.4165  6.8592E-01 P
    0.8412  5.4903E+00 P
    0.4696  1.1841E-01 P
    0.7197  1.2773E+00 P
    0.4965  1.6868E-01 P
    0.5030  3.3311E+00 P
    0.1650  1.0918E-04 P
    0.5563  5.7080E+00 P
    0.1522  1.3430E-02 P
    0.3865  2.3553E+00 P
    0.5260  1.2013E+03 P
    0.4860  6.2916E+01 P
    0.7251  1.6178E+03 P
    0.6853  6.0376E-01 P
    0.5879  3.0026E+00 P
    0.3805  6.1450E-02 P
    0.5581  2.0766E+01 P
    0.7057  1.6247E+00 P
    0.7215  6.1070E+00 P
    0.6486  2.0592E+02 P
    0.8582  1.5010E+02 P
    0.4863  1.3799E+00 P
    0.5446  6.0634E+03 P
    0.4690  6.7632E+00 P
    0.3835  2.1216E+00 P
    0.6561  7.3956E+00 P
    0.5422  2.5461E+00 P
    0.5834  6.1816E+00 P
    0.4327  9.0870E+00 P
    0.4893  3.2160E+00 P
    0.6168  3.8342E+00 P
    0.7732  2.0472E+00 P
    0.6041  5.0159E+01 P
    0.8591  9.2907E-01 P
    0.5802  2.8996E+01 P
    0.9579  2.5816E-01 P
    0.5884  1.8626E+02 P
    0.3574  1.5812E+01 P
    1.2580  2.0996E+01 P
    0.5908  1.6964E+00 P
    0.6878  4.0123E+00 P
    0.6451  3.6513E+00 P
    0.8115  1.8589E-01 P
    0.6605  1.1847E+00 P
    0.5181  2.4357E-01 P
    1.2407  7.6830E+00 P
    0.6593  1.2453E+00 P
    1.6051  7.7915E-01 P
    0.5955  6.1916E+00 P
    0.5986  1.5143E+00 P
    0.5000  1.6024E-01 P
    0.7408  4.0839E+00 P
    0.5630  3.0021E-01 P
    0.4851  4.8874E-01 P
    0.5842  4.8045E+02 P
    0.7297  5.0057E+00 P
    0.6015  4.8818E-01 P
