    0.5804  4.4985E+00 P
    0.6186  5.6753E+00 P
    0.7048  2.4773E+00 P
    0.7989  1.7507E+01 P
    0.6875  8.6251E+02 P
    0.8235  3.3645E+00 P
    0.6523  2.8248E+00 P
    0.5952  4.2406E+02 P
    0.6734  2.5553E+00 P
    0.8262  4.4809E+00 P
    0.6824  1.8628E+00 P
    0.6240  5.4321E+00 P
    0.6559  2.8943E+00 P
    0.6863  6.5144E+00 P
    0.6366  2.0023E+00 P
    0.6089  9.1631E+00 P
    0.5116  3.4452E+00 P
    0.6481  9.1836E+00 P
    0.5999  6.4927E+00 P
    0.6847  2.4425E+00 P
    0.5844  3.0343E+00 P
    0.6541  3.7484E+00 P
    0.5350  5.9983E+00 P
    0.6384  1.0576E+01 P
    0.5205  2.5261E+00 P
    0.5260  8.3729E+00 P
    0.6311  3.2148E+00 P
    0.5341  3.2132E+01 P
    0.6771  7.6822E+00 P
    0.6835  2.7658E+00 P
    0.6474  4.3096E+00 P
    0.6825  2.3167E+01 P
    0.5301  5.8115E+00 P
    0.7286  3.2184E+00 P
    0.6401  5.7087E+00 P
    0.6632  1.0328E+01 P
    0.6293  1.3031E+02 P
    0.7009  2.4247E+01 P
    0.5684  3.2972E+00 P
    0.7748  7.5818E+00 P
    0.6065  4.1067E+01 P
    0.6376  2.5920E+00 P
    0.5432  4.1365E+02 P
    0.6198  5.8144E+00 P
    0.6375  3.4633E+00 P
    0.6847  1.7812E+00 P
    0.7544  2.5847E+00 P
    0.5259  5.7910E+00 P
    0.7022  9.7671E+00 P
    0.8086  5.9651E+00 P
    0.6915  6.8160E+00 P
    0.8813  2.3833E+02 P
    0.6119  7.0331E+00 P
    0.7699  1.8987E+01 P
    0.8285  2.6592E+00 P
    0.6657  2.6155E+01 P
    0.8404  3.3763E+00 P
    0.6359  8.5361E+00 P
    0.5944  4.5953E+02 P
    0.5510  2.6904E+00 P
    0.7273  1.4573E+01 P
    0.6231  5.5091E+00 P
    0.7786  7.2047E+00 P
    0.8405  1.9399E+00 P
    0.8250  1.9282E+00 P
    0.6654  1.7920E+01 P
    0.6572  1.3402E+01 P
    0.6605  3.6635E+00 P
    0.7262  3.7178E+00 P
    0.6002  3.8058E+00 P
    0.7858  3.1224E+00 P
    0.6823  6.5615E+00 P
    0.6359  1.1724E+02 P
    0.7447  4.0985E+00 P
    0.6067  4.0997E+01 P
    0.5470  3.2473E+01 P
    0.8043  3.9686E+00 P
    0.6328  3.8526E+00 P
    0.6938  1.9749E+00 P
    0.7137  3.7018E+01 P
    0.8740  4.7235E+00 P
    0.6125  2.0044E+00 P
    0.5400  5.4287E+00 P
    0.7461  1.8368E+01 P
    0.6449  5.7703E+00 P
    0.5501  2.4269E+01 P
    0.9555  4.7556E+00 P
    0.7665  4.5591E+00 P
    0.6127  4.4406E+00 P
    0.6474  5.4702E+00 P
    0.6369  8.5831E+00 P
    0.5975  3.8762E+02 P
    0.6473  1.9912E+01 P
    0.7495  6.7631E+01 P
    0.6065  4.2246E+00 P
    0.7761  4.9655E+00 P
    0.5788  9.5027E+00 P
    0.7186  3.3346E+00 P
    0.6636  1.8106E+01 P
    0.6406  1.8304E+00 P
    0.5328  2.5514E+00 P
    0.7730  1.8638E+02 P
    0.7331  4.5123E+02 P
    0.6251  4.0263E+00 P
    0.6282  7.3628E+00 P
    0.6307  1.4585E+01 P
    0.6448  2.6470E+00 P
    0.5160  1.7751E+01 P
    0.7360  2.6420E+00 P
    0.5485  3.0810E+01 P
    0.5243  5.1447E+03 P
    0.6171  2.0642E+00 P
    0.7662  4.6101E+00 P
    0.7195  2.0845E+01 P
    0.7585  1.5366E+01 P
    0.6916  7.0049E+00 P
    0.5348  1.3013E+04 P
    0.6469  5.3615E+00 P
    0.6874  2.0682E+00 P
    0.5973  2.9290E+02 P
    0.6515  1.9422E+01 P
    0.6868  8.6935E+00 P
    0.5916  4.8487E+00 P
    0.7531  6.3778E+00 P
    0.7761  4.9656E+00 P
    0.5656  5.7648E+00 P
    0.5844  2.2068E+00 P
    0.5359  4.2317E+00 P
    0.6481  9.1426E+00 P
    0.6049  5.9544E+00 P
    0.6998  2.7164E+00 P
    0.6375  1.6049E+01 P
    0.6357  3.2587E+00 P
    0.6460  3.6244E+00 P
    0.6142  3.6052E+00 P
    0.6149  4.7336E+00 P
    0.6674  3.6021E+02 P
    0.5180  1.7420E+01 P
    0.6601  1.1025E+01 P
    0.6066  4.0139E+00 P
    0.4842  5.0533E+00 P
    0.6036  3.2455E+00 P
    0.6209  6.1108E+00 P
    0.7431  1.0446E+01 P
    0.7129  3.5884E+01 P
