    0.6151  3.3883E+00 P
    0.4609  8.9476E+01 P
    0.9439  3.8545E+00 P
    0.4983  3.7468E+02 P
    0.6531  8.2050E+03 P
    0.7076  4.6995E+00 P
    0.6857  9.2074E+01 P
    0.5079  5.4777E+00 P
    0.5327  2.1550E+03 P
    0.5584  6.0982E+00 P
    0.5762  9.5448E+00 P
    0.6477  6.0514E+01 P
    0.5059  2.8008E+01 P
    0.6956  6.0464E+00 P
    0.5628  2.4835E+00 P
    0.5094  2.2788E+03 P
    0.5474  8.4761E+00 P
    0.8470  7.1201E+00 P
    0.6200  7.4407E+00 P
    0.5953  1.2787E+02 P
    0.5289  3.4610E+00 P
    0.6564  1.5955E+01 P
    0.4992  2.2230E+00 P
    0.7114  2.5894E+00 P
    0.6903  2.7214E+00 P
    0.7433  6.5071E+00 P
    0.5576  2.0636E+00 P
    0.7877  3.7797E+00 P
    0.6830  8.4719E+00 P
    0.5627  2.6160E+00 P
    0.6667  2.6253E+00 P
    0.7657  6.2134E+00 P
    0.5372  2.9998E+01 P
    0.6642  2.2083E+00 P
    0.4986  1.2797E+01 P
    0.7548  4.0105E+00 P
    0.5607  1.3079E+01 P
    0.6640  6.4475E+00 P
    0.5314  2.1821E+00 P
    0.6454  1.7245E+01 P
    0.5048  5.4417E+00 P
    0.5289  3.3177E+00 P
    0.5460  4.3985E+00 P
    0.8730  1.4300E+02 P
    0.4821  4.0024E+01 P
    0.8665  3.8481E+00 P
    0.6058  1.4304E+01 P
    0.4836  5.3806E+00 P
    0.7998  8.4814E+00 P
    0.7035  5.9327E+00 P
    0.5811  1.2496E+01 P
    0.6049  3.3645E+00 P
    0.4940  1.1060E+02 P
    0.5626  1.4231E+02 P
    0.5539  4.2081E+00 P
    0.5713  4.5416E+00 P
    0.4914  6.5806E+02 P
    0.5701  4.5882E+00 P
    0.4938  5.7080E+00 P
    0.5762  3.1458E+01 P
    0.6424  8.0744E+00 P
    0.6815  9.9097E+01 P
    0.5429  1.2556E+04 P
    0.6470  4.0054E+00 P
    0.4645  2.9059E+00 P
    0.7342  7.3966E+00 P
    0.5133  1.2736E+01 P
    0.5923  8.9106E+00 P
    0.6578  3.0613E+03 P
    0.7590  4.5115E+00 P
    0.6341  9.0283E+01 P
    0.4952  2.4731E+00 P
    0.7750  6.1165E+00 P
    0.4919  3.9054E+00 P
    0.7238  1.1712E+02 P
    0.5156  3.8927E+00 P
    0.5148  7.6123E+02 P
    0.5125  3.0148E+00 P
    0.6769  2.2060E+01 P
    0.6872  6.1772E+00 P
    0.6647  3.8393E+00 P
    0.6979  8.8722E+00 P
    0.6612  5.9768E+02 P
    0.4984  3.8216E+00 P
    0.6553  3.2259E+01 P
    0.5725  2.9380E+00 P
    0.6106  2.8259E+00 P
    0.5130  6.0789E+00 P
    0.4988  3.8746E+01 P
    0.4944  1.6643E+01 P
    0.5631  2.4869E+00 P
    0.8101  8.8004E+00 P
    0.6395  5.1544E+01 P
    0.6302  3.5591E+00 P
    0.4875  1.5607E+03 P
    0.6496  2.0128E+01 P
    0.5166  2.3385E+01 P
    0.5115  8.4099E+02 P
    0.6316  3.3560E+00 P
    0.6323  4.8331E+00 P
    0.4562  9.7278E+01 P
    0.7064  3.2649E+00 P
    0.5090  3.3051E+00 P
    0.6537  9.4511E+03 P
    0.5560  4.0874E+00 P
    0.6333  5.6671E+00 P
    0.5638  4.3729E+01 P
    0.7536  4.2396E+02 P
    0.5613  5.7450E+00 P
    0.5469  3.9079E+00 P
    0.5314  5.1206E+00 P
    0.5708  8.0842E+00 P
    0.7345  5.0040E+01 P
    0.5140  1.2511E+01 P
    0.4920  2.5346E+00 P
    0.7187  1.3994E+01 P
    0.6037  8.5044E+00 P
    0.5902  3.7258E+00 P
    0.6945  2.2418E+00 P
    0.5082  3.3728E+00 P
    0.7417  4.0415E+00 P
    0.9109  7.5076E+00 P
    1.1484  4.3008E+00 P
    0.6711  2.7884E+00 P
    0.5546  7.1281E+00 P
    0.5722  2.2316E+00 P
    0.5666  2.6824E+00 P
    0.6482  1.4560E+03 P
    0.4899  2.2285E+00 P
    0.5767  2.9134E+00 P
    0.6047  2.8158E+00 P
    0.4998  6.5361E+00 P
    0.4659  5.3869E+01 P
    0.5332  3.9238E+03 P
    0.7833  1.1394E+02 P
    0.4857  1.7951E+01 P
    0.6510  6.7675E+01 P
    0.6635  4.8903E+00 P
    0.6699  2.9037E+01 P
    0.5163  5.0658E+02 P
    0.7168  1.4258E+02 P
    0.4854  1.7330E+01 P
    0.5352  3.0807E+00 P
    0.7177  3.5011E+00 P
    0.5798  2.2067E+00 P
    0.7591  1.2403E+01 P
    0.4940  3.7245E+02 P
    0.5567  1.2867E+01 P
    0.5160  2.2067E+03 P
    0.4864  2.4337E+01 P
    0.4939  8.7650E+03 P
    0.5328  5.8012E+00 P
    0.7314  7.1177E+00 P
    0.5178  3.3931E+00 P
    0.7316  1.2762E+01 P
    0.6792  3.4067E+02 P
    0.7572  4.6150E+00 P
    0.5089  3.4028E+00 P
    0.6286  8.5207E+01 P
    0.6834  1.3052E+01 P
    0.6462  1.1401E+01 P
    0.4920  2.0766E+00 P
    0.8285  2.5767E+00 P
    0.8718  7.9751E+01 P
    0.9832  1.2892E+01 P
    0.5972  9.3596E+00 P
    0.6602  2.7180E+00 P
    0.7253  4.5915E+00 P
    0.4894  2.9736E+00 P
    0.6648  2.2702E+00 P
    0.5555  1.2210E+01 P
    0.7012  4.0146E+00 P
    0.7603  3.6793E+00 P
    0.4983  3.8043E+00 P
    0.7925  4.3506E+00 P
    0.6673  3.8668E+01 P
    0.4894  4.7405E+00 P
    0.5299  3.3123E+00 P
    0.7138  9.0135E+00 P
    0.4765  3.6447E+00 P
    0.5181  2.7507E+01 P
    0.5682  1.5887E+03 P
    0.7238  4.3042E+00 P
    0.5711  1.0907E+01 P
    0.5531  2.6469E+03 P
    0.4958  2.7046E+00 P
    0.6322  4.8098E+00 P
    0.5881  7.2144E+00 P
    0.8659  8.8219E+00 P
    0.5506  4.1385E+00 P
    0.7250  4.5866E+01 P
    0.5217  3.1508E+00 P
    0.5626  4.5345E+00 P
    0.4937  4.8323E+00 P
    0.5391  4.7315E+02 P
    0.6953  4.8459E+00 P
    0.5456  1.8058E+02 P
    0.4898  1.3507E+04 P
    0.6814  9.8838E+01 P
    0.5523  8.3804E+02 P
    0.5373  5.9082E+00 P
    0.5913  3.7609E+00 P
    0.6911  4.7138E+02 P
    0.5019  3.4079E+00 P
    0.5178  1.0245E+01 P
    0.7788  2.7747E+00 P
    0.9725  5.1778E+01 P
    0.6236  1.9078E+01 P
    0.5128  4.1244E+00 P
    0.5422  3.3795E+00 P
    0.6096  7.6550E+01 P
    0.7842  3.2914E+01 P
    0.7636  4.9478E+00 P
    0.6153  8.4915E+00 P
    0.5727  2.7468E+00 P
    0.5130  3.9678E+00 P
    0.4740  3.7801E+00 P
    0.6770  2.2076E+01 P
    0.6398  3.1603E+00 P
    0.6787  3.4988E+00 P
    0.7891  7.4629E+00 P
    0.7434  3.8016E+00 P
    0.6441  1.1740E+01 P
    0.6746  2.4496E+01 P
    0.5774  2.4077E+00 P
    0.5580  3.5940E+00 P
    0.7040  4.4231E+00 P
    0.6052  1.4460E+01 P
    0.5446  1.1723E+03 P
    0.4845  1.4550E+02 P
    0.5903  1.6057E+02 P
    0.7175  1.4595E+02 P
    0.5153  1.1790E+01 P
